N п/п,Предприятие,Таб №,ФИО,Дата рождения,Подразделение,Статус,Должность,Код функции,Наименование функции,Дата приема,Дата увольнения,Статья КЗОТ,причина,причина уточн.,Кратко,Название ставки,Категория,Поощрение От,Поощрение До,Уточнение,Основание
 104,Ба́мблби,633402463, Путинов Юрий Никанорович ,30885,Ремонтно-механический участок,Постоянно,Газорезчик,102.19,Централизованное ремонтное производство,41365,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42937,72686,,за высокие результаты работы
1597,Империя сов Илопса,866678861, Головкина Лилия Иларионовна ,31495,Участок металлизации,Постоянно,Металлизатор,101.02,Производство продукции,38551,72686,,,,,Основной персонал - рабочие,рабочие,43299,72686,,"За достижения в работе и значительный вклад в развитие Предприятия, за высокий профессионализм и добросовестное отношение к труду"
 346,Лихолесье,283590963, Лобачёва Полина Игнатиевна ,32158,Производство полимеров полибутадиеновых каучуков,Постоянно,Эксперт по производству,101.02,Производство продукции,41550,72686,,,,,Основной персонал - АУП,специалисты,42880,72686,,"В связи с праздником ""День изобретателя и рационализатора"""
1662,Изенгард,316681997, Ланцова Эмма Федоровна ,30547,Цех пиролиза,Постоянно,Инженер-технолог,101.02,Производство продукции,41584,72686,,,,,Основной персонал - АУП,специалисты,43277,72686,,
 573,Лесные эдьфы,400011980, Никитина Агния Павеловна ,22874,Производственно-диспетчерский отдел,Постоянно,Диспетчер,103.03,Диспетчеризация,30930,43327,п 3 ч 1 ст 77 ТК РФ,"По инициативе работника, в связи с уходом на пенсию, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",в связи с уходом на пенсию,Прочее,Основной персонал - АУП,специалисты,43248,72686,,В честь профессионального праздника День Химика
 347,Лихолесье,283517337, Коренёв Ростислав Карлович ,30097,Лаборатория производства полибутадиеновых каучуков,Постоянно,Вальцовщик,137.01,Контроль качества,40310,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43070,43100,,"Программа мотивации по ОТ, ПБ и ООС"
 348,Лихолесье,283517337, Коренёв Ростислав Карлович ,30097,Лаборатория производства полибутадиеновых каучуков,Постоянно,Вальцовщик,137.01,Контроль качества,40310,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43249,72686,,"За многолетний добросовестный труд, большой личный вклад в развитие производства синтетических каучуков и в связи с профессиональным праздником - Днем химика"
 861,Синие горы,333524461, Лелуха Фаина Андрияновна ,32405,Отделение Б-3,Постоянно,Оператор технологических установок,101.04,"Склады сырья, полуфабрикатов и продукции (непаспортизированной)",41526,72686,,,,,Основной персонал - рабочие,рабочие,43028,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
 862,Синие горы,333592183, Белозерцева Зинаида Василиевна ,23567,Участок противопожарной автоматики,Постоянно,"Электромонтер по ремонту аппаратуры, релейной защиты и автоматики",101.02,Производство продукции,42705,72686,,,,,Основной персонал - рабочие,рабочие,43076,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и в связи с празднованием Дня энергетика"
 574,Лесные эдьфы,400012114, Бялика Эмилия Александровна ,30543,Установка 9б Выделение бутадиен-нитрильных каучуков,Постоянно,Инженер-технолог,101.02,Производство продукции,38926,72686,,,,,Основной персонал - АУП,специалисты,43248,72686,,В честь профессионального праздника День Химика
1170,Туарег,50071312, Цекало Антип Михаилович ,24508,Отделение канализационно-очистных сооружений,Постоянно,Машинист компрессорных установок,101.07,Энергопроизводство,39982,42842,,,,,Вспомогательный персонал - рабочие,рабочие,42765,72686,,В связи с юбилейной датой
 349,Лихолесье,283386733, Захарьин Борислав Захарович ,22682,"Установка сушки, прессования",Постоянно,Машинист расфасовочно-упаковочных машин,101.02,Производство продукции,34953,72686,,,,,Основной персонал - рабочие,рабочие,43009,43373,,"Программа мотивации по ОТ, ПБ и ООС"
 350,Лихолесье,283386733, Захарьин Борислав Захарович ,22682,"Установка сушки, прессования и ОВВ",Постоянно,Машинист расфасовочно-упаковочных машин,101.02,Производство продукции,34953,72686,,,,,Основной персонал - рабочие,рабочие,42826,43190,,"Программа стимулирования работников в области ОТ, ПБ и ООС ""Чемпион"""
 863,Синие горы,333522595, Энтин Пахом Кондратиевич ,30462,Установка ГФ-2,Постоянно,Машинист технологических насосов,101.02,Производство продукции,41494,72686,,,,,Основной персонал - рабочие,рабочие,42865,72686,,"За многолетний добросовестный труд, высокие производственные показатели, большой личный вклад в развитие химической отрасли города и в связи с профессиональным праздником ""День химика"""
 864,Синие горы,333600384, Шкиряк Анатолий Андронович ,34540,Лаборатория производства бутадиена,Постоянно,Лаборант химического анализа,137.01,Контроль качества,42769,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43088,72686,,За значительный личный вклад в развитие движения чемпионатов сквозных рабочих профессий высокотехнологичных отраслей промышленности WorldSkills и конкурсов профессионального мастерства в Обществе
 865,Синие горы,333600384, Шкиряк Анатолий Андронович ,34540,Лаборатория производства бутадиена,Постоянно,Лаборант химического анализа,137.01,Контроль качества,42769,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43236,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
 866,Синие горы,333602317, Иканова Влада Леонидовна ,34267,"Подготовка кадров для ООО ""ЗапСибНефтехим""",Временно,Специалист по планированию,102.18,Единая служба технического заказчика,42821,43230,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",с последующим приемом в рамках Холдинга/ дружественного предприятия,Перевод_внутри_Холдинга,Крупнобюджетные инвестпроекты,специалисты,43076,72686,,"За значительный личный вклад в развитие компетенций сотрудников в области ОТ и ПБ, направленных на обеспечение и развитие культуры безопасности в Обществе, через реализацию программы обязательного корпоративного обучения"
 867,Синие горы,333585181, Чичваркина Евгения Потаповна ,24542,Отдел ТОиР оборудования КИПиА и АСУТП,Постоянно,Инженер,102.18,Единая служба технического заказчика,42626,72686,,,,,Вспомогательный персонал - АУП,специалисты,42849,72686,,В связи с юбилеем
 868,Синие горы,333465693, Якунькин Архип Ермолаевич ,23040,ВОС,Постоянно,Коагулянщик,101.07,Энергопроизводство,37252,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43109,72686,,В связи с юбилеем
 869,Синие горы,333532182, Нуряев Захар Карлович ,30382,Отдел технического надзора,Постоянно,Ведущий инженер,102.09,"Технический надзор, управление надежностью и диагностика",41738,72686,,,,,Администрация,специалисты,42851,72686,,"За высокий профессионализм, большой вклад в развитие нефтехимической промышленности и в связи с празднованием Дня Рождения СИБУРа - Дня химика"
 870,Синие горы,333425199, Янчевский Виссарион Климентович ,22821,РМП,Постоянно,Машинист насосных установок,101.07,Энергопроизводство,37252,43062,п 3 ч 1 ст 77 ТК РФ,"По инициативе работника, в связи с уходом на пенсию, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",в связи с уходом на пенсию,Прочее,Вспомогательный персонал - рабочие,рабочие,42899,72686,,За добросовестный труд и участие в общественной жизни цеха ВиК
 871,Синие горы,333514031, Яковенко Майя Ираклиевна ,28159,Цех специализированных ремонтных работ,Постоянно,Начальник цеха,102.19,Централизованное ремонтное производство,41394,72686,,,,,Вспомогательный персонал - АУП,руководители,43236,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
 872,Синие горы,333458596, Филин Прохор Семенович ,24906,Лаборатория производства бутадиена,Постоянно,Лаборант химического анализа,137.01,Контроль качества,37252,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43153,72686,,
 873,Синие горы,333592198, Данькин Данила Георгиевич ,24817,Участок по эксплуатации тепломеханического оборудования,Постоянно,Старший машинист турбинного отделения,101.02,Производство продукции,42705,72686,,,,,Основной персонал - рабочие,рабочие,43074,72686,,В связи с юбилеем
 874,Синие горы,333595342, Лаврова Стела Кузьмевна ,23207,Производство дегидрирования пропана,Постоянно,Техник,101.02,Производство продукции,42705,72686,,,,,Основной персонал - АУП,специалисты,43287,72686,,В связи с юбилеем
1471,Мория,450014642, Лашкина Берта Марковна ,29111,ЭП-Руководство,Постоянно,Эксперт по производству,101.07,Энергопроизводство,37320,72686,,,,,Вспомогательный персонал - АУП,специалисты,42880,72686,,За высокие производственные достижения
 875,Синие горы,333552912, Круминь Владислава Ипполитовна ,29907,Участок производства дегидрирования пропана,Постоянно,Энергетик,102.19,Централизованное ремонтное производство,42466,42870,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",с последующим приемом в рамках Холдинга/ дружественного предприятия,Перевод_внутри_Холдинга,Вспомогательный персонал - АУП,специалисты,42865,72686,,"За многолетний добросовестный труд, высокие производственные показатели, большой личный вклад в развитие химической отрасли города и в связи с профессиональным праздником ""День химика"""
 876,Синие горы,333515787, Серебров Савелий Потапович ,29196,"Группа по обслуживанию ООО ""ЗапСибНефтехим""",Постоянно,Эксперт,114.02,Охрана труда,41394,43294,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",с последующим приемом в рамках Холдинга/ дружественного предприятия,Перевод_внутри_Холдинга,Администрация,специалисты,43236,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
 154,Лориэн,216671489, Яблонев Данила Мартьянович ,25976,Производство изопрена,Постоянно,Начальник смены,101.02,Производство продукции,36708,72686,,,,,Основной персонал - АУП,руководители,43287,72686,,"За  добросовестный плодотворный труд, профессионализм  и ответственность, высокие производственные показатели, личный вклад в развитие химической промышленности городского округа Тольятти, а также в связи с празднованием Дня рождения  ООО""СИБУР Тольятти"""
 351,Лихолесье,283617699, Благово Мартын Валерьянович ,34202,Группа №5 по обслуживанию производства полимеров полибутадиеновых каучуков,Постоянно,Электромонтер по ремонту и обслуживанию электрооборудования,102.21,Электроавтоматика и измерения,42557,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43252,43281,,"Программа мотивации по ОТ, ПБ и ООС"
 352,Лихолесье,283607399, Рыжов Роман Онисимович ,27091,Участок по ремонту установок выделения,Постоянно,Слесарь-ремонтник,102.19,Централизованное ремонтное производство,42347,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42887,43251,,"Программа стимулирования работников в области ОТ, ПБ и ООС ""Чемпион"""
 877,Синие горы,333518046, Гречко Оксана  Иларионовна ,32767,Товарно-сырьевой цех (цех подготовки и розлива углеводородов и их соединений),Постоянно,Оператор дистанционного пульта управления,101.04,"Склады сырья, полуфабрикатов и продукции (непаспортизированной)",41442,72686,,,,,Основной персонал - рабочие,рабочие,43236,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
 878,Синие горы,333406813, Кулагина Марианна Кузьмевна ,32059,Установка дегидрирования изобутана (БК-2),Постоянно,Аппаратчик дегидрирования,101.02,Производство продукции,38761,72686,,,,,Основной персонал - рабочие,рабочие,42879,72686,,"За высокое профессиональное мастерство, добросовестный труд, достижения в работе и значительный личный вклад в развитие Общества"
 879,Синие горы,333458667, Одинцова Ефросиния Иосифовна ,24766,Лаборатория производства бутадиена,Постоянно,Лаборант химического анализа,137.01,Контроль качества,37410,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43005,72686,,В связи с юбилеем
1252,Озерный город,433501730, Ноздрин Пахом Герасимович ,23531,Установка катализаторов и подготовки сырья,Постоянно,Аппаратчик синтеза триэтилалюминия,101.02,Производство продукции,39882,72686,,,,,Основной персонал - рабочие,рабочие,42982,72686,,День Химика и День рождения СИБУРа
 353,Лихолесье,283382885, Низовский Сократ Иннокентиевич ,29083,Установка ДК-3,Постоянно,Начальник установки,101.02,Производство продукции,37446,72686,,,,,Основной персонал - АУП,руководители,43374,43404,,"Программа мотивации по ОТ, ПБ и ООС"
 880,Синие горы,333597811, Никитаев Всеслав Архипович ,29702,Складское хозяйство,Постоянно,Кладовщик,105.04,Склады МТР,42703,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43236,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
 354,Лихолесье,283445213, Берёзкин Артемий Елизарович ,23591,"Установка подготовки сырья, коагуляции и фильтрации",Постоянно,Аппаратчик коагуляции,101.02,Производство продукции,30154,72686,,,,,Основной персонал - рабочие,рабочие,43101,43131,,"Программа мотивации по ОТ, ПБ и ООС"
1253,Озерный город,433454496, Огаркова Агафья Федоровна ,26299,Отделение по ремонту насосно-компрессорного технологического оборудования установок Производства мономеров,Постоянно,Мастер по ремонту,102.19,Централизованное ремонтное производство,38643,72686,,,,,Вспомогательный персонал - АУП,руководители,42914,72686,,За высокие результаты работы
 881,Синие горы,333456460, Янчурова Елена Несторовна ,30457,Участок по эксплуатации КИПиА (мономеры),Постоянно,Начальник участка,102.19,Централизованное ремонтное производство,37489,72686,,,,,Вспомогательный персонал - АУП,руководители,42865,72686,,"За многолетний добросовестный труд, высокие производственные показатели, большой личный вклад в развитие химической отрасли города и в связи с профессиональным праздником ""День химика"""
 882,Синие горы,333533719, Хомколова Евдокия Кузьмевна ,33899,Группа релейной защиты и автоматики,Постоянно,Ведущий инженер,102.19,Централизованное ремонтное производство,41813,72686,,,,,Вспомогательный персонал - АУП,специалисты,43088,72686,,За значительный личный вклад в развитие движения чемпионатов сквозных рабочих профессий высокотехнологичных отраслей промышленности WorldSkills и конкурсов профессионального мастерства в Обществе
 105,Ба́мблби,633517769, Шипеев Евсей Измаилович ,32696,,,,,,43191,72686,,,,,,,42937,72686,,
 155,Лориэн,217174461, Кривов Артур Евгениевич ,31551,ТОП,Постоянно,Директор по управлению персоналом,109.01,Управление персоналом - общее руководство,42675,72686,,,,,Администрация,руководители,43291,72686,,за высокие результаты работы
1254,Озерный город,433444134, Язынина Каролина Мефодиевна ,27964,Отдел планирования и обеспечения поддержания основных фондов,Постоянно,Специалист по договорам,102.18,Единая служба технического заказчика,39610,72686,,,,,Администрация,специалисты,42982,72686,,День Химика и День рождения СИБУРа
1377,Одинокая гора,300192198, Широнин Мирон Игоревич ,26437,Участок линейно-эксплуатационной службы (трубопровод ОЭ),Постоянно,Аппаратчик перегонки,101.04,"Склады сырья, полуфабрикатов и продукции (непаспортизированной)",36892,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42928,72686,,"""День рождения СИБУРа"""
1815,Суллуст ,516740069, Быстров Геннадий Ермолаевич ,25444,Служба Содержание и ремонт пути и СЦБ,Постоянно,Руководитель службы,104.06,Содержание и ремонт железнодорожной инфраструктуры,41807,43390,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работника,Текучесть-добровольная,Вспомогательный персонал - АУП,руководители,42881,72686,,"За высокие результаты работы, в личный вклад в развитие Общества и в связи с празднованием Дня железнодорожника"
1472,Мория,450026741, Чиркаш Герасим Леонидович ,23147,"ЦЗЛ- Контроль качества сточных, технологических вод",Постоянно,Инженер-химик,137.01,Контроль качества,36800,72686,,,,,Вспомогательный персонал - АУП,специалисты,43291,72686,,За высокие результаты работы
1598,Империя сов Илопса,866767514, Яблонова Ираида Якововна ,29448,Эффективность производства (Производство),Временно,Начальник производства,101.02,Производство продукции,43206,72686,,,,,Основной персонал - АУП,руководители,43291,72686,,за высокие результаты работы
 355,Лихолесье,283334915, Набутов Владислав Трофимович ,22062,Отдел планирования и обеспечения ПОФ,Постоянно,Ведущий специалист по планированию поддержания основных фондов,102.18,Единая служба технического заказчика,39903,42978,п 1ч 1 ст 77 ТК РФ,"по соглашению сторон, пункт 1 части первой статьи 77 Трудового кодекса Российской Федерации",оптимизация численности,Оптимизация,Администрация,специалисты,43017,72686,,"За добросоовестный труд, личный вклад в развитие предприятия, достигнутые высокие показатели в работе и в связи с 85-летием со дня образования предприятия"
 883,Синие горы,333474592, Куликова Юнона Кузьмевна ,31798,Служба главного технолога (мономеры),Постоянно,Ведущий инженер-технолог,137.02,Технология и стандартизация,40735,72686,,,,,Администрация,специалисты,43214,72686,,"За многолетний добросовестный труд, высокий профессионализм, большой личный вклад в развитие нефтехимической промышленности и города Тобольска и в связи с празднованием ""Дня рождения СИБУРа - Дня химика"""
 156,Лориэн,217110516, Палагута Филимон Ипатиевич ,32833,Установка дегидрирование изобутана,Постоянно,Начальник установки,101.02,Производство продукции,41309,72686,,,,,Основной персонал - АУП,руководители,43291,72686,,за высокие результаты работы
 356,Лихолесье,283627648, Меликов Мирослав Левович ,20715,,,,,,42901,72686,,,,,,,42886,72686,,"За большой вклад, внесенный в развитие промышленности и многолетний добросовестный труд, и в связи с профессиональным праздником - Днем химика"
1599,Империя сов Илопса,866679548, Бортник Денис Андриянович ,26976,Продажи СПОТ,Постоянно,Главный эксперт,108.03,Продажи,40392,72686,,,,,Администрация,специалисты,43299,72686,,"За достижения в работе и значительный вклад в развитие Предприятия, за высокий профессионализм и добросовестное отношение к труду"
1600,Империя сов Илопса,866679548, Бортник Денис Андриянович ,26976,Продажи СПОТ,Постоянно,Главный эксперт,108.03,Продажи,40392,72686,,,,,Администрация,специалисты,42901,72686,,
1255,Озерный город,433337961, Пичугина Анна Федотовна ,29121,Установка катализаторов и подготовки сырья,Постоянно,Начальник установки,101.02,Производство продукции,37987,43063,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",с последующим приемом в рамках Холдинга/ дружественного предприятия,Перевод_внутри_Холдинга,Основной персонал - АУП,руководители,42934,72686,,За высокие результаты работы
 884,Синие горы,333618969, Белоусов Семён Филиппович ,25198,Участок по эксплуатации электроавтоматики и измерений (электротеплопарогенерация),Постоянно,Электрослесарь по обслуживанию автоматики и средств измерений электростанций,102.19,Централизованное ремонтное производство,43098,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43420,72686,,"За высокий профессионализм, многолетний добросовестный труд и в связи с 50-летним юбилеем"
1473,Мория,450025533, Горностаева Евгения Иосифовна ,27688,Служба экономической безопасности,Постоянно,Ведущий специалист,113.04,Информационная безопасность и техническая защита,38475,72686,,,,,Администрация,специалисты,43242,72686,,За высокие производственные достижения
 128,Навахо,783336989, Емельянов Георгий Изяславович ,23857,Белозерное газоперерабатывающее производство,Постоянно,Оператор технологических установок,101.02,Производство продукции,40477,43238,,,,,Основной персонал - рабочие,рабочие,42956,72686,,"за многолетний плодотворный труд , высокие профессиональные достижения"
1714,Мглистые горы,466725798, Яцышина Нина Николаевна ,29351,Отдел главного энергетика,Временно,Главный эксперт по электроснабжению,102.03,Энергетика - служба главного энергетика,43005,72686,,,,,Крупнобюджетные инвестпроекты,специалисты,43236,72686,,
 357,Лихолесье,283377737, Вергунов Борис Кондратович ,24495,"Установка подготовки мономеров, растворителей и катализаторов",Постоянно,Аппаратчик перегонки,101.02,Производство продукции,37285,72686,,,,,Основной персонал - рабочие,рабочие,42856,43220,,"Программа стимулирования работников в области ОТ, ПБ и ООС ""Чемпион"""
 575,Лесные эдьфы,400013198, Юнкин Максим Казимирович ,29960,"Участок по ремонту и чистке технологического оборудования цехов 8в,9б",Постоянно,Слесарь-ремонтник,102.19,Централизованное ремонтное производство,38730,43371,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника с его согласия на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",вывод на аутсорсинг,Аутсорсинг,Вспомогательный персонал - рабочие,рабочие,43248,72686,,В связи с празднованием профессионального праздника
1256,Озерный город,433420410, Абоимова Лидия Павеловна ,28347,Производство мономеров,Постоянно,Технолог производства,101.02,Производство продукции,37987,72686,,,,,Основной персонал - АУП,специалисты,42880,72686,,День химика
 358,Лихолесье,283617090, Низовцев Феликс Валерьянович ,34038,Группа №2 по обслуживанию производства по подготовке мономеров и растворителей,Постоянно,Электромонтер по ремонту и обслуживанию электрооборудования,102.21,Электроавтоматика и измерения,42557,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43252,43281,,"Программа мотивации по ОТ, ПБ и ООС"
 157,Лориэн,217114849, Моренова Лиана Леонидовна ,27570,"Служба технического надзора, управления надежностью и диагностики",Постоянно,Руководитель службы,102.09,"Технический надзор, управление надежностью и диагностика",41362,43166,п 5 ч 1 ст 77 ТК РФ,"в связи с переводом работника по его просьбе на работу к другому работодателю, пункт 5 части первой статьи 77 Трудового кодекса Российской Федерации",с последующим приемом в рамках Холдинга/ дружественного предприятия,Перевод_внутри_Холдинга,Администрация,руководители,42937,72686,,за высокие результаты работы
1257,Озерный город,433351865, Аглиуллин Ростислав Игоревич ,24822,Установка полимеризации пропилена,Постоянно,Инженер по эксплуатации,101.02,Производство продукции,37987,72686,,,,,Основной персонал - АУП,специалисты,42880,72686,,День химика
1855,Гундабад,1050109193, Ягужинский Карл Артемиевич ,27748,Отдел по договорной работе с субподрядчиками,Постоянно,Начальник отдела,106.24,Управление контрактами,42552,72686,,,,,Основной персонал - АУП,руководители,42934,72686,,За высокие результаты работы
1171,Туарег,383380581, Разудалов Зиновий Денисович ,20906,Группа ТО КИПиА №1 в цехах нефтехимического производства углеводородов и их соединений,Постоянно,Мастер по КИПиА,102.07,Метрология - служба главного метролога,42566,42842,,,,,Вспомогательный персонал - АУП,руководители,42821,72686,,В связи с юбилейной датой
 885,Синие горы,333460499, Голубева Тамара Олеговна ,21166,Участок компримирования,Постоянно,Машинист холодильных установок,101.07,Энергопроизводство,37252,72686,,,,,Вспомогательный персонал - рабочие,рабочие,43070,72686,,В связи с юбилеем
 886,Синие горы,333444388, Смирнова Лиана Степановна ,29247,Установка выделения бутадиена (ДБО-10),Постоянно,Старший аппаратчик газоразделения,101.02,Производство продукции,37252,72686,,,,,Основной персонал - рабочие,рабочие,43214,72686,,"За многолетний добросовестный труд, высокий профессионализм, большой личный вклад в развитие нефтехимической промышленности и города Тобольска и в связи с празднованием ""Дня рождения СИБУРа - Дня химика"""
1731,Татуин,1000064430, Янкова Анисья Станиславовна ,26404,отдел пляжа и бассейна,Временно,Матрос-спасатель,128.04,Сезонный временный персонал,42874,42983,п 3 ч 1 ст 77 ТК РФ,"по инициативе работника, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работника,Текучесть-добровольная,Вспомогательный персонал - рабочие,рабочие,42940,72686,,За достижения в работе и значительный личный вклад в развитие Предприятия
1474,Мория,450019087, Яклашкина Бронислава Евгениевна ,31696,Служба управления надежностью,Постоянно,Главный механик,102.24,Управление надежностью,40582,72686,,,,,Администрация,руководители,43242,72686,,За высокие производственные достижения
1475,Мория,450019087, Яклашкина Бронислава Евгениевна ,31696,Отдел главного механика,Постоянно,Главный механик,102.05,Механика - служба главного механика,40582,72686,,,,,Администрация,руководители,42928,72686,,За высокие производственные достижения
1258,Озерный город,433591543, Швечиков Александр Андроникович ,24819,Узел гранулирования полипропилена,Временно,Машинист гранулирования пластических масс,101.02,Производство продукции,42944,43189,п 3 ч 1 ст 77 ТК РФ,"По инициативе работника, в связи с уходом на пенсию, пункт 3 части первой статьи 77 Трудового кодекса Российской Федерации",в связи с уходом на пенсию,Прочее,Крупнобюджетные инвестпроекты,рабочие,42982,72686,,День Химика и День рождения СИБУРа
 887,Синие горы,333467346, Зобов Юрий Эрнестович ,26793,Цех нейтрализации и очистки промышленных и сточных вод,Постоянно,Машинист насосных установок,101.07,Энергопроизводство,37252,72686,,,,,Вспомогательный персонал - рабочие,рабочие,42879,72686,,"Высокое проффесиональное мастерство, добросовестный труд, достижения в работе и значительный  личный вклад в развитие Общества"
 359,Лихолесье,283613431, Цой Денис Леонович ,32259,Установка полимеризации и дегазации,Постоянно,Аппаратчик полимеризации,101.02,Производство продукции,42447,72686,,,,,Основной персонал - рабочие,рабочие,43344,43373,,"Программа мотивации по ОТ, ПБ и ООС"
 360,Лихолесье,283613431, Цой Денис Леонович ,32259,Установка полимеризации и дегазации,Постоянно,Аппаратчик полимеризации,101.02,Производство продукции,42447,72686,,,,,Основной персонал - рабочие,рабочие,42856,43220,,"Программа стимулирования работников в области ОТ, ПБ и ООС ""Чемпион"""
 361,Лихолесье,283613431, Цой Денис Леонович ,32259,Установка полимеризации и дегазации,Постоянно,Аппаратчик полимеризации,101.02,Производство продукции,42447,72686,,,,,Основной персонал - рабочие,рабочие,43132,43159,,
